t,px_err_x,px_err_y,ee_x,ee_y,ee_z,ref_x,ref_y,ref_z
19.639240026474,21.0,-22.0,0.22759047514319447,-0.062288846245251474,0.8038876307982226,0.2,-0.11945109106158086,0.8787161179895193
19.79833698272705,21.0,-26.0,0.22113089845215328,-0.07665532889593404,0.8250761297526928,0.2,-0.13367613305406462,0.8790418286773373
19.94850206375122,21.0,-30.0,0.2155942401486233,-0.09179981367983749,0.8410556806487793,0.2,-0.14558595691983225,0.8712291328595061
20.103238344192505,20.0,-32.0,0.21151587679908815,-0.1072150314965204,0.8515183378611704,0.2,-0.15617580582584523,0.855297184926047
20.238953113555908,18.0,-34.0,0.20867119827637853,-0.12214847678140808,0.8562322148167933,0.2,-0.16396073403502737,0.8353144019827071
20.389654636383057,15.0,-35.0,0.20701139931546886,-0.1365035963543082,0.8547992870788159,0.2,-0.17087016923634424,0.8074554202332008
20.512304306030273,12.0,-35.0,0.20625679347924983,-0.1492935485159005,0.8479324295438475,0.2,-0.17509409039153503,0.7812008307341265
20.676718950271606,8.0,-34.0,0.20641875196630635,-0.16096461787403477,0.834555259312242,0.2,-0.17872877989082345,0.7424077731938711
20.80449891090393,4.0,-32.0,0.2068248524231052,-0.17018459052411886,0.8168956786033648,0.2,-0.17992183532237857,0.7106035363857441
20.957574605941772,-1.0,-30.0,0.20761814864015657,-0.17794375046322988,0.7916570558294791,0.2,-0.17945717347282952,0.6721469715582385
21.110572338104248,-6.0,-26.0,0.2073475276164764,-0.1825904320440831,0.7637238891043583,0.2,-0.17693580282584684,0.6349830456398899
21.257555723190308,-8.0,-23.0,0.2061236495880984,-0.18431226565941633,0.7320077479811854,0.2,-0.17260343737952852,0.6020588563281041
21.388129234313965,-12.0,-19.0,0.20416948859556155,-0.182432825174755,0.6990937103927447,0.2,-0.16722166108416148,0.5762370563843175
21.548837900161743,-15.0,-16.0,0.20139393288624347,-0.17723199462976166,0.6681487420341556,0.2,-0.1586870630112474,0.5501971874527278
21.720860719680786,-17.0,-12.0,0.1979667881352113,-0.17016354047513002,0.6415834560268461,0.2,-0.14733198395174696,0.5307182542556561
21.9011652469635,-18.0,-9.0,0.19434233561407535,-0.16123314244059103,0.618487830432374,0.2,-0.13314318729186225,0.5208015307563183
22.069937229156494,-19.0,-6.0,0.19102147886338075,-0.15092255103984986,0.5996021258896302,0.2,-0.11793783612820584,0.5218085210887348
22.213000774383545,-18.0,-3.0,0.18898316337715285,-0.13932562992710829,0.5852268984976181,0.2,-0.10375200038327895,0.5304344345243683
22.36432433128357,-18.0,-1.0,0.18817160984263867,-0.12726085728254535,0.5751703063438081,0.2,-0.08761884766289409,0.5469247196466125
22.499231815338135,-17.0,1.0,0.18777247559259927,-0.11588002778127873,0.5687132434338608,0.2,-0.07240195245338406,0.5674266230527318
22.62701988220215,-15.0,2.0,0.18794817192285757,-0.10434546269464146,0.5652316362914918,0.2,-0.05739079355440755,0.5912089427478788
22.774752855300903,-14.0,4.0,0.1887784198092183,-0.0931772620065996,0.564200087968252,0.2,-0.03947276151877551,0.6229760881813285
22.919023752212524,-13.0,5.0,0.19051139987400575,-0.08260277582220074,0.5653859154289366,0.2,-0.021566115601730128,0.6571784663206245
23.07623553276062,-11.0,6.0,0.19445698167396183,-0.07174425718323554,0.5694916192916897,0.2,-0.0018093333696360217,0.6963815160799006
23.253299951553345,-8.0,6.0,0.2012507185782947,-0.06102754040647459,0.5777837586584057,0.2,0.020456460295120212,0.7406478536343603
23.39531445503235,-3.0,5.0,0.21173700306568274,-0.04953810525197928,0.5934464156304436,0.2,0.03810409418333609,0.7744810814616547
23.577681303024292,4.0,4.0,0.22485683135572668,-0.03450031029604019,0.6195727101308774,0.2,0.06019055993391928,0.8134512696605313
23.71653389930725,13.0,3.0,0.23476674554827243,-0.015363909860538809,0.6561228694044722,0.2,0.07636880450219478,0.8383092817064022
